start_id,end_id,distance,type,ADA,direction
42,18,32,avenue,1,W
19,18,20,avenue,1,SW
18,39,65,avenue,1,N
12,19,15,road,1,S
19,12,15,road,1,N
19,28,35,avenue,1,E
28,19,35,avenue,1,W
28,34,15,road,1,N
34,28,15,road,1,S
34,8,35,road,1,NE
8,34,35,road,1,SW
20,12,35,path,1,SW
12,20,35,path,1,NE
20,34,33,path,1,SE
34,20,33,path,1,NW
20,9,20,path,1,E
9,20,20,path,1,W
20,6,10,path,1,NW
6,20,10,path,1,SE
20,7,28,path,1,NE
7,20,28,path,1,SW
20,5,32,path,1,N
5,20,32,path,1,S
9,34,15,road,1,S
34,9,15,road,1,N
9,7,20,path,1,N
7,9,20,path,1,S
12,10,30,road,0,N
10,12,30,road,0,S
10,6,25,path,1,NE
6,10,25,path,1,SW
6,5,27,road,0,NE
5,6,27,road,0,SW
5,4,20,avenue,1,N
4,5,20,avenue,1,S
5,3,27,avenue,1,E
3,5,27,avenue,1,W
3,37,60,avenue,1,E
37,3,60,avenue,1,W
1,37,15,road,1,S
37,1,15,road,1,N
37,35,40,avenue,1,S
35,37,40,avenue,1,N
37,36,30,avenue,1,SE
36,37,30,avenue,1,NW
39,10,15,road,1,E
10,39,15,road,1,W
12,9,55,creek,0,NE
9,8,40,creek,0,E
8,35,35,creek,0,NE
35,36,25,creek,0,NE
12,6,50,road,1,NE
6,12,50,road,1,SW
42,14,65,road,1,SW
14,42,65,road,1,NE
42,28,40,road,1,NE
28,42,40,road,1,SW
28,15,35,path,0,S
15,28,35,path,0,N
34,38,30,path,0,SE
38,34,30,path,0,NW
18,17,15,path,0,NW
17,18,15,path,0,SE
21,5,35,road,1,SE
5,21,35,road,1,NW
